Keys;2H-Hinton-S1;2H-Hinton-S2;2H-Hinton-S3;2H-Hinton-S4;2H-Hinton-S5;2H-Hinton-S6;2H-Hinton-S7;2H-Hinton-S8;2H-Hinton-S9;2H-Hinton-S10;2H-Hinton-S11;2H-Hinton-S12;2H-Hinton-S13;2H-Hinton-S14;2H-Hinton-S15;2H-Hinton-S16;2H-Hinton-S17;2H-Hinton-S18;2H-Hinton-S19;2H-Hinton-S20;2H-Hinton-S21;2H-Hinton-S22;2H-Hinton-S23;2H-Hinton-S24;2H-Hinton-S25;2H-Hinton-S26;2H-Hinton-S27;2H-Hinton-S28;2H-Hinton-S29;2H-Hinton-S30;2H-Hinton-S31;2H-Hinton-S32;2H-Hinton-S33;2H-Hinton-S34;2H-Hinton-S35;2H-Hinton-S36;2H-Hinton-S37;2H-Hinton-S38;2H-Hinton-S39;2H-Hinton-S40;2H-Hinton-S41;2H-Hinton-S42;2H-Hinton-S43;2H-Hinton-S44;2H-Hinton-S45;2H-Hinton-S46;2H-Hinton-S47;2H-Hinton-S48;2H-Hinton-S49;2H-Hinton-S50;2H-Hinton-S51;2H-Hinton-S52;2H-Hinton-S53;2H-Hinton-S54;2H-Hinton-S55;2H-Hinton-S56;2H-Hinton-S57;2H-Hinton-S58;2H-Hinton-S59;2H-Hinton-S60;2H-Hinton-S61;2H-Hinton-S62;2H-Hinton-S63;2H-Hinton-S64;2H-Hinton-S65;2H-Hinton-S66;2H-Hinton-S67;2H-Hinton-S68;2H-Hinton-S69;2H-Hinton-S70;2H-Hinton-S71;2H-Hinton-S72;2H-Hinton-S73;2H-Hinton-S74;2H-Hinton-S75;2H-Hinton-S76;2H-Hinton-S77;2H-Hinton-S78;2H-Hinton-S79;2H-Hinton-S80;2H-Hinton-S81;2H-Hinton-S82;2H-Hinton-S83;2H-Hinton-S84;2H-Hinton-S85;2H-Hinton-S86;2H-Hinton-S87;2H-Hinton-S88;2H-Hinton-S89;2H-Hinton-S90;2H-Hinton-S91;2H-Hinton-S92;2H-Hinton-S93;2H-Hinton-S94;2H-Hinton-S95;2H-Hinton-S96;2H-Hinton-S97;2H-Hinton-S98;2H-Hinton-S99;2H-Hinton-S100;2H-Hinton-S101;2H-Hinton-S102;2H-Hinton-S103;2H-Hinton-S104;2H-Hinton-S105;2H-Hinton-S106;2H-Hinton-S107;2H-Hinton-S108;2H-Hinton-S109;2H-Hinton-S110;2H-Hinton-S111;2H-Hinton-S112;2H-Hinton-S113;2H-Hinton-S114;2H-Hinton-S115;2H-Hinton-S116;2H-Hinton-S117;2H-Hinton-S118;2H-Hinton-S119;2H-Hinton-S120;2H-Hinton-S121;2H-Hinton-S122;2H-Hinton-S123;2H-Hinton-S124;2H-Hinton-S125;2H-Hinton-S126;2H-Hinton-S127;2H-Hinton-S128
Model/Layers/Hidden/DropoutProbability;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Model/Layers/Output/ActionType;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu
Model/Layers/Output/DistanceType;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst
Model/Layers/Output/Geometry;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean
Model/Layers/Output/NeuronCount;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Model/Layers/Output/DropoutProbability;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Model/LayerZSnappingMethod;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
Model/SpatialInitializationType;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity;Singularity
Model/AbsoluteZCoordinates;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Model/DistanceRegularizationThreshold;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Analytics/Type;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics;LossAnalytics
Analytics/Loss/Unit;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss;EntropyLoss
Analytics/Loss/Alpha;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Optimizer/GenerationTraining;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single
Optimizer/MaximumMutationRate;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Optimizer/MinimumMutationRate;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Optimizer/MutationDelta;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Optimizer/PopulationCount;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Optimizer/IterationCount;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Optimizer/BeatLength;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Optimizer/BeatPattern;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Optimizer/RegenerateAnalyticsFrequency;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
